message_id,generation,num_children,audio,chain_id,parent_id,game_name,chain_name,message_name,to_remove
13,1,0,between-category-game-a/frip/gen-1.wav,4,4,between-category-game-a,frip,gen-1.wav,0
453,1,0,between-category-game-a/frip/gen-1_7D8dfIB.wav,4,4,between-category-game-a,frip,gen-1_7D8dfIB.wav,
15,1,0,between-category-game-a/frip/gen-1_JDQRoZX.wav,4,4,between-category-game-a,frip,gen-1_JDQRoZX.wav,0
29,1,0,between-category-game-a/frip/gen-1_bTVyXti.wav,4,4,between-category-game-a,frip,gen-1_bTVyXti.wav,0
311,1,0,between-category-game-a/frip/gen-1_i85Q38W.wav,4,4,between-category-game-a,frip,gen-1_i85Q38W.wav,
18,2,0,between-category-game-a/frip/gen-2.wav,4,13,between-category-game-a,frip,gen-2.wav,0
372,2,0,between-category-game-a/frip/gen-2_6BIkif9.wav,4,311,between-category-game-a,frip,gen-2_6BIkif9.wav,
85,2,0,between-category-game-a/frip/gen-2_8GpIyx0.wav,4,29,between-category-game-a,frip,gen-2_8GpIyx0.wav,0
60,2,0,between-category-game-a/frip/gen-2_HUGF4lj.wav,4,15,between-category-game-a,frip,gen-2_HUGF4lj.wav,0
23,2,0,between-category-game-a/frip/gen-2_MxoYRTo.wav,4,15,between-category-game-a,frip,gen-2_MxoYRTo.wav,0
41,2,0,between-category-game-a/frip/gen-2_N9lJnzp.wav,4,15,between-category-game-a,frip,gen-2_N9lJnzp.wav,0
91,2,0,between-category-game-a/frip/gen-2_Su6XtFK.wav,4,15,between-category-game-a,frip,gen-2_Su6XtFK.wav,1
30,2,0,between-category-game-a/frip/gen-2_XR7Tt67.wav,4,15,between-category-game-a,frip,gen-2_XR7Tt67.wav,0
94,2,0,between-category-game-a/frip/gen-2_YmGSFcr.wav,4,13,between-category-game-a,frip,gen-2_YmGSFcr.wav,0
78,2,0,between-category-game-a/frip/gen-2_pqJJhmK.wav,4,15,between-category-game-a,frip,gen-2_pqJJhmK.wav,0
114,2,0,between-category-game-a/frip/gen-2_qLKdrJ8.wav,4,13,between-category-game-a,frip,gen-2_qLKdrJ8.wav,0
456,2,0,between-category-game-a/frip/gen-2_wGTks3W.wav,4,453,between-category-game-a,frip,gen-2_wGTks3W.wav,
