"survey_id","survey_label","question_id","given","generation","given_game","given_chain","answer","selection","is_correct"
12,"between-splish",474,112,6,"between-category-game-a","splish",3,2,0
12,"between-splish",474,112,6,"between-category-game-a","splish",3,3,1
12,"between-splish",474,112,6,"between-category-game-a","splish",3,1,0
12,"between-splish",474,112,6,"between-category-game-a","splish",3,3,1
12,"between-splish",474,112,6,"between-category-game-a","splish",3,3,1
12,"between-splish",491,506,8,"between-category-game-a","splish",3,3,1
12,"between-splish",491,506,8,"between-category-game-a","splish",3,3,1
12,"between-splish",491,506,8,"between-category-game-a","splish",3,3,1
12,"between-splish",491,506,8,"between-category-game-a","splish",3,3,1
12,"between-splish",441,52,1,"between-category-game-a","splish",3,2,0
12,"between-splish",441,52,1,"between-category-game-a","splish",3,3,1
12,"between-splish",441,52,1,"between-category-game-a","splish",3,3,1
12,"between-splish",478,388,6,"between-category-game-a","splish",3,3,1
12,"between-splish",478,388,6,"between-category-game-a","splish",3,3,1
12,"between-splish",478,388,6,"between-category-game-a","splish",3,3,1
12,"between-splish",478,388,6,"between-category-game-a","splish",3,3,1
12,"between-splish",478,388,6,"between-category-game-a","splish",3,3,1
12,"between-splish",457,69,3,"between-category-game-a","splish",3,3,1
12,"between-splish",447,28,2,"between-category-game-a","splish",3,3,1
12,"between-splish",447,28,2,"between-category-game-a","splish",3,3,1
12,"between-splish",485,530,7,"between-category-game-a","splish",3,2,0
12,"between-splish",485,530,7,"between-category-game-a","splish",3,3,1
12,"between-splish",485,530,7,"between-category-game-a","splish",3,3,1
12,"between-splish",485,530,7,"between-category-game-a","splish",3,3,1
12,"between-splish",483,462,7,"between-category-game-a","splish",3,3,1
12,"between-splish",483,462,7,"between-category-game-a","splish",3,3,1
12,"between-splish",483,462,7,"between-category-game-a","splish",3,3,1
12,"between-splish",476,132,6,"between-category-game-a","splish",3,3,1
12,"between-splish",476,132,6,"between-category-game-a","splish",3,3,1
12,"between-splish",451,122,2,"between-category-game-a","splish",3,3,1
12,"between-splish",451,122,2,"between-category-game-a","splish",3,3,1
12,"between-splish",488,375,8,"between-category-game-a","splish",3,3,1
12,"between-splish",488,375,8,"between-category-game-a","splish",3,1,0
12,"between-splish",488,375,8,"between-category-game-a","splish",3,3,1
12,"between-splish",452,40,2,"between-category-game-a","splish",3,3,1
12,"between-splish",452,40,2,"between-category-game-a","splish",3,3,1
12,"between-splish",452,40,2,"between-category-game-a","splish",3,3,1
12,"between-splish",489,496,8,"between-category-game-a","splish",3,1,0
12,"between-splish",433,11,1,"between-category-game-a","splish",3,3,1
12,"between-splish",433,11,1,"between-category-game-a","splish",3,2,0
12,"between-splish",433,11,1,"between-category-game-a","splish",3,3,1
12,"between-splish",433,11,1,"between-category-game-a","splish",3,3,1
12,"between-splish",433,11,1,"between-category-game-a","splish",3,3,1
12,"between-splish",433,11,1,"between-category-game-a","splish",3,3,1
12,"between-splish",467,339,5,"between-category-game-a","splish",3,2,0
12,"between-splish",467,339,5,"between-category-game-a","splish",3,4,0
12,"between-splish",467,339,5,"between-category-game-a","splish",3,3,1
12,"between-splish",467,339,5,"between-category-game-a","splish",3,2,0
12,"between-splish",472,72,6,"between-category-game-a","splish",3,3,1
12,"between-splish",472,72,6,"between-category-game-a","splish",3,3,1
12,"between-splish",472,72,6,"between-category-game-a","splish",3,1,0
12,"between-splish",472,72,6,"between-category-game-a","splish",3,3,1
12,"between-splish",472,72,6,"between-category-game-a","splish",3,3,1
12,"between-splish",471,317,5,"between-category-game-a","splish",3,3,1
12,"between-splish",471,317,5,"between-category-game-a","splish",3,3,1
12,"between-splish",461,306,4,"between-category-game-a","splish",3,2,0
12,"between-splish",461,306,4,"between-category-game-a","splish",3,2,0
12,"between-splish",461,306,4,"between-category-game-a","splish",3,4,0
12,"between-splish",461,306,4,"between-category-game-a","splish",3,3,1
12,"between-splish",461,306,4,"between-category-game-a","splish",3,3,1
12,"between-splish",461,306,4,"between-category-game-a","splish",3,3,1
12,"between-splish",448,79,2,"between-category-game-a","splish",3,3,1
12,"between-splish",448,79,2,"between-category-game-a","splish",3,4,0
12,"between-splish",448,79,2,"between-category-game-a","splish",3,2,0
12,"between-splish",458,96,3,"between-category-game-a","splish",3,3,1
12,"between-splish",458,96,3,"between-category-game-a","splish",3,1,0
12,"between-splish",458,96,3,"between-category-game-a","splish",3,3,1
12,"between-splish",492,435,8,"between-category-game-a","splish",3,3,1
12,"between-splish",492,435,8,"between-category-game-a","splish",3,3,1
12,"between-splish",492,435,8,"between-category-game-a","splish",3,3,1
12,"between-splish",492,435,8,"between-category-game-a","splish",3,3,1
12,"between-splish",492,435,8,"between-category-game-a","splish",3,3,1
12,"between-splish",465,477,4,"between-category-game-a","splish",3,2,0
12,"between-splish",465,477,4,"between-category-game-a","splish",3,2,0
12,"between-splish",465,477,4,"between-category-game-a","splish",3,3,1
12,"between-splish",465,477,4,"between-category-game-a","splish",3,3,1
12,"between-splish",437,25,1,"between-category-game-a","splish",3,2,0
12,"between-splish",463,352,4,"between-category-game-a","splish",3,2,0
12,"between-splish",463,352,4,"between-category-game-a","splish",3,3,1
12,"between-splish",463,352,4,"between-category-game-a","splish",3,3,1
12,"between-splish",436,454,11,"between-category-game-a","splish",3,2,0
12,"between-splish",436,454,11,"between-category-game-a","splish",3,3,1
12,"between-splish",436,454,11,"between-category-game-a","splish",3,3,1
12,"between-splish",469,89,5,"between-category-game-a","splish",3,3,1
12,"between-splish",469,89,5,"between-category-game-a","splish",3,3,1
12,"between-splish",494,516,9,"between-category-game-a","splish",3,2,0
12,"between-splish",494,516,9,"between-category-game-a","splish",3,3,1
12,"between-splish",494,516,9,"between-category-game-a","splish",3,3,1
12,"between-splish",494,516,9,"between-category-game-a","splish",3,3,1
12,"between-splish",473,374,6,"between-category-game-a","splish",3,3,1
12,"between-splish",473,374,6,"between-category-game-a","splish",3,1,0
12,"between-splish",473,374,6,"between-category-game-a","splish",3,4,0
12,"between-splish",456,136,3,"between-category-game-a","splish",3,3,1
12,"between-splish",456,136,3,"between-category-game-a","splish",3,1,0
12,"between-splish",456,136,3,"between-category-game-a","splish",3,4,0
12,"between-splish",456,136,3,"between-category-game-a","splish",3,3,1
12,"between-splish",456,136,3,"between-category-game-a","splish",3,2,0
12,"between-splish",468,359,5,"between-category-game-a","splish",3,3,1
12,"between-splish",468,359,5,"between-category-game-a","splish",3,3,1
12,"between-splish",468,359,5,"between-category-game-a","splish",3,3,1
12,"between-splish",434,418,10,"between-category-game-a","splish",3,3,1
12,"between-splish",434,418,10,"between-category-game-a","splish",3,3,1
12,"between-splish",464,287,4,"between-category-game-a","splish",3,3,1
12,"between-splish",464,287,4,"between-category-game-a","splish",3,3,1
12,"between-splish",464,287,4,"between-category-game-a","splish",3,1,0
12,"between-splish",484,383,7,"between-category-game-a","splish",3,3,1
12,"between-splish",484,383,7,"between-category-game-a","splish",3,3,1
12,"between-splish",443,88,1,"between-category-game-a","splish",3,3,1
12,"between-splish",454,99,2,"between-category-game-a","splish",3,1,0
12,"between-splish",454,99,2,"between-category-game-a","splish",3,1,0
12,"between-splish",454,99,2,"between-category-game-a","splish",3,2,0
12,"between-splish",455,44,3,"between-category-game-a","splish",3,3,1
12,"between-splish",455,44,3,"between-category-game-a","splish",3,1,0
12,"between-splish",455,44,3,"between-category-game-a","splish",3,4,0
12,"between-splish",455,44,3,"between-category-game-a","splish",3,3,1
12,"between-splish",479,283,6,"between-category-game-a","splish",3,3,1
12,"between-splish",442,14,1,"between-category-game-a","splish",3,2,0
12,"between-splish",442,14,1,"between-category-game-a","splish",3,4,0
12,"between-splish",442,14,1,"between-category-game-a","splish",3,3,1
12,"between-splish",477,430,6,"between-category-game-a","splish",3,3,1
12,"between-splish",450,109,2,"between-category-game-a","splish",3,3,1
12,"between-splish",450,109,2,"between-category-game-a","splish",3,3,1
12,"between-splish",462,305,4,"between-category-game-a","splish",3,2,0
12,"between-splish",462,305,4,"between-category-game-a","splish",3,3,1
12,"between-splish",462,305,4,"between-category-game-a","splish",3,4,0
12,"between-splish",440,20,1,"between-category-game-a","splish",3,3,1
12,"between-splish",440,20,1,"between-category-game-a","splish",3,3,1
12,"between-splish",440,20,1,"between-category-game-a","splish",3,1,0
12,"between-splish",440,20,1,"between-category-game-a","splish",3,2,0
12,"between-splish",453,76,2,"between-category-game-a","splish",3,3,1
12,"between-splish",460,56,4,"between-category-game-a","splish",3,3,1
12,"between-splish",460,56,4,"between-category-game-a","splish",3,3,1
12,"between-splish",460,56,4,"between-category-game-a","splish",3,3,1
12,"between-splish",475,106,6,"between-category-game-a","splish",3,3,1
12,"between-splish",475,106,6,"between-category-game-a","splish",3,1,0
12,"between-splish",475,106,6,"between-category-game-a","splish",3,4,0
12,"between-splish",475,106,6,"between-category-game-a","splish",3,3,1
12,"between-splish",486,479,7,"between-category-game-a","splish",3,3,1
12,"between-splish",486,479,7,"between-category-game-a","splish",3,3,1
12,"between-splish",487,325,7,"between-category-game-a","splish",3,3,1
12,"between-splish",487,325,7,"between-category-game-a","splish",3,3,1
12,"between-splish",444,19,2,"between-category-game-a","splish",3,3,1
12,"between-splish",444,19,2,"between-category-game-a","splish",3,4,0
12,"between-splish",444,19,2,"between-category-game-a","splish",3,3,1
12,"between-splish",444,19,2,"between-category-game-a","splish",3,4,0
12,"between-splish",445,61,2,"between-category-game-a","splish",3,3,1
12,"between-splish",445,61,2,"between-category-game-a","splish",3,3,1
12,"between-splish",445,61,2,"between-category-game-a","splish",3,2,0
12,"between-splish",438,36,1,"between-category-game-a","splish",3,4,0
12,"between-splish",435,525,10,"between-category-game-a","splish",3,1,0
12,"between-splish",481,450,7,"between-category-game-a","splish",3,3,1
12,"between-splish",481,450,7,"between-category-game-a","splish",3,2,0
12,"between-splish",527,238,6,"within-category-game-a","splish",138,1,0
12,"between-splish",527,238,6,"within-category-game-a","splish",138,4,0
12,"between-splish",527,238,6,"within-category-game-a","splish",138,1,0
12,"between-splish",527,238,6,"within-category-game-a","splish",138,3,0
12,"between-splish",517,206,4,"within-category-game-a","splish",138,4,0
12,"between-splish",517,206,4,"within-category-game-a","splish",138,4,0
12,"between-splish",517,206,4,"within-category-game-a","splish",138,4,0
12,"between-splish",544,376,8,"within-category-game-a","splish",138,3,0
12,"between-splish",544,376,8,"within-category-game-a","splish",138,4,0
12,"between-splish",544,376,8,"within-category-game-a","splish",138,4,0
